id,title,company,location,site_name,job_url,description,date_posted
eyJpdiI6ImVDR3JyRSsrc2VaRkVUekZQQjdLSlE9PSIsInZhbHVlIjoiWmp1aDE0elVnT205ZVBVR1kzQjRvUT09IiwibWFjIjoiNWMxNDI1MmNhMGM2ZjA2YjEyNTE3ZWQxNjBlYmI4MTAyNjNjZDk1NDhiOTIyZmRiNTdjNWFkNmJhZDgwOWNiOCIsInRhZyI6IiJ9,Sales Personnel,FHL Trading PLC,Ethiopia,ethiojobs,https://ethiojobs.net/job/65G0qZiBTi-sales-personnel,"<p style=""text-align:justify""><strong>Sales Personnel</strong></p><p style=""text-align:justify""><strong>Number of Positions: 3</strong></p><p style=""text-align:justify""><strong>About FHL Trading PLC</strong></p><p style=""text-align:justify"">FHL Trading PLC is an Addis Ababa-based branding and promotional company specializing in <strong>signage, brand impressions, customized promotional products, corporate gifts, and branding solutions</strong>. Founded in 2015, the company works with organizations seeking customized solutions to strengthen their visibility and brand presence.</p><p style=""text-align:justify""><strong>About the Job</strong></p><p style=""text-align:justify"">FHL Trading PLC is looking for <strong>three motivated and target-oriented Sales Personnel</strong> to expand its customer base and promote the company&#39;s branding and promotional solutions.</p><p style=""text-align:justify"">The Sales Personnel will be responsible for identifying potential customers, understanding their branding and promotional needs, presenting appropriate solutions, following up on leads, and converting opportunities into sales.</p><p style=""text-align:justify""><strong>Key Responsibilities</strong></p><ul><li>Identify and approach potential corporate customers.</li><li>Generate new sales leads through calls, visits, networking, referrals, and other channels.</li><li>Promote FHL Trading&#39;s signage, branding, corporate gifts, customized promotional products, and related services.</li><li>Understand customer requirements and recommend appropriate products or solutions.</li><li>Prepare and present product and service proposals to prospective clients.</li><li>Conduct customer visits and business meetings when required.</li><li>Build and maintain strong relationships with existing and potential customers.</li><li>Follow up consistently on quotations, proposals, and sales opportunities.</li><li>Negotiate with customers while maintaining company pricing and policies.</li><li>Work closely with the marketing and production teams to ensure customer requirements are clearly communicated.</li><li>Maintain accurate records of leads, prospects, customers, and sales activities.</li><li>Achieve assigned monthly and annual sales targets.</li><li>Monitor customer feedback and communicate market information to management.</li><li>Identify opportunities for repeat business and upselling.</li><li>Prepare regular sales activity and performance reports.</li></ul>",2026-08-27T14:33:52.000000Z
eyJpdiI6IjN2LzBycE9TaEx3cjdueFpMUEo2Q1E9PSIsInZhbHVlIjoiZnBNZ1o3MzdOdGZZejNtazZGTWhBQT09IiwibWFjIjoiYWRmMmFkYzRmNTA5YjBmY2YzNzUzNWNmMzUyMWEyYmJlNjg3NjY4MGI2N2I1ZGVkYTU3NDUyYjI0ZjBkM2E3ZCIsInRhZyI6IiJ9,Marketing Personnel,FHL Trading PLC,Ethiopia,ethiojobs,https://ethiojobs.net/job/wSktVV71aF-marketing-personnel,"<p style=""text-align:justify""><strong>Marketing Personnel</strong></p><p style=""text-align:justify""><strong>Number of Positions: 2</strong></p><p style=""text-align:justify""><strong>About FHL Trading PLC</strong></p><p style=""text-align:justify"">FHL Trading PLC is an Addis Ababa-based branding and promotional company specializing in <strong>signage, brand impressions, customized promotional products, corporate gifts, and branding solutions</strong>. Established in 2015, the company focuses on helping organizations strengthen their brands through customized promotional and branding solutions. The company has also developed capabilities in areas such as laser cutting and engraving.</p><p style=""text-align:justify""><strong>About the Job</strong></p><p style=""text-align:justify"">FHL Trading PLC is looking for <strong>two experienced Marketing Personnel</strong> to join its growing team.</p><p style=""text-align:justify"">The Marketing Personnel will be responsible for developing and implementing marketing activities, promoting FHL Trading&#39;s branding and promotional solutions, identifying new business opportunities, and building strong relationships with corporate clients.</p><p style=""text-align:justify"">The successful candidates should have practical experience in <strong>service marketing</strong> and understand how to market customized solutions to businesses and organizations.</p><p style=""text-align:justify""><strong>Key Responsibilities</strong></p><ul><li>Develop and implement marketing strategies and campaigns for FHL Trading&#39;s products and services.</li><li>Promote branding, signage, corporate gifts, customized promotional products, and related services.</li><li>Identify and develop new business opportunities.</li><li>Conduct market research to identify customer needs, market trends, and potential opportunities.</li><li>Identify potential corporate clients and develop relationships with key decision-makers.</li><li>Develop and maintain strong relationships with existing customers.</li><li>Prepare and deliver marketing presentations and company/service profiles.</li><li>Coordinate promotional activities, campaigns, and client engagement activities.</li><li>Work closely with the sales team to generate and convert leads.</li><li>Follow up with prospective customers and support the conversion of leads into business opportunities.</li><li>Monitor competitors and market developments.</li><li>Contribute ideas for new marketing campaigns, promotional products, and business development initiatives.</li><li>Prepare regular marketing activity and performance reports.</li><li>Represent the company professionally when meeting customers and business partners.</li><li>Ensure that marketing activities are aligned with the company&#39;s brand and business objectives.</li></ul>",2026-08-27T14:32:28.000000Z
eyJpdiI6ImU3anhxamRYK2tCbmxHS3Ewb1ZMU3c9PSIsInZhbHVlIjoiMEVDRGQrclRlK2dSM2RNTDJyMlBuZz09IiwibWFjIjoiOTdmZDc3MDQ1YTQ5ZjkzMzdlNTI5Y2E4MGM2NzAwMmVhYzM0ODhhMmRjMzNkYmQ4ODBmNzNmMDgzYjMyNWU5NiIsInRhZyI6IiJ9,Tour Operator / Operations Officer,Great Wall Africa Tour,Ethiopia,ethiojobs,https://ethiojobs.net/job/X3e108Pagr-tour-operator-operations-officer,<p><strong>Position</strong>: Tour Operator / Operations Officer Vacancy</p><p><strong>Great Wall Africa Tour (GWAT)</strong> is inviting qualified and experienced candidates to apply for the position of <strong>Tour Operator / Operations Officer</strong>.</p>,2026-08-27T14:32:04.000000Z
